le --- IMG_3557.JPG, renamed to IMG_3557__1.JPG
MINOR: found duplicate file --- IMG_3543.JPG, renamed to IMG_3543__1.JPG
MINOR: found duplicate file --- IMG_3569.JPG, renamed to IMG_3569__2.JPG
MINOR: found duplicate file --- IMG_3541.JPG, renamed to IMG_3541__1.JPG
MINOR: found duplicate file --- IMG_3421.JPG, renamed to IMG_3421__3.JPG
MINOR: found duplicate file --- IMG_3435.JPG, renamed to IMG_3435__2.JPG
MINOR: found duplicate file --- IMG_3434.JPG, renamed to IMG_3434__3.JPG
MINOR: found duplicate file --- IMG_3420.JPG, renamed to IMG_3420__2.JPG
MINOR: found duplicate file --- IMG_3540.JPG, renamed to IMG_3540__1.JPG
MINOR: found duplicate file --- IMG_3568.JPG, renamed to IMG_3568__2.JPG
MINOR: found duplicate file --- IMG_3550.JPG, renamed to IMG_3550__1.JPG
MINOR: found duplicate file --- IMG_3424.JPG, renamed to IMG_3424__3.JPG
MINOR: found duplicate file --- IMG_3430.JPG, renamed to IMG_3430__2.JPG
MINOR: found duplicate file --- IMG_3418.JPG, renamed to IMG_3418__3.JPG
MINOR: found duplicate file --- IMG_3419.JPG, renamed to IMG_3419__2.JPG
MINOR: found duplicate file --- IMG_3431.JPG, renamed to IMG_3431__2.JPG
MINOR: found duplicate file --- IMG_3425.JPG, renamed to IMG_3425__3.JPG
MINOR: found duplicate file --- IMG_3551.JPG, renamed to IMG_3551__1.JPG
MINOR: found duplicate file --- IMG_3547.JPG, renamed to IMG_3547__1.JPG
MINOR: found duplicate file --- IMG_3553.JPG, renamed to IMG_3553__1.JPG
MINOR: found duplicate file --- IMG_3433.JPG, renamed to IMG_3433__2.JPG
MINOR: found duplicate file --- IMG_3427.JPG, renamed to IMG_3427__2.JPG
MINOR: found duplicate file --- IMG_3426.JPG, renamed to IMG_3426__2.JPG
MINOR: found duplicate file --- IMG_3432.JPG, renamed to IMG_3432__3.JPG
MINOR: found duplicate file --- IMG_3552.JPG, renamed to IMG_3552__1.JPG
MINOR: found duplicate file --- IMG_3563.JPG, renamed to IMG_3563__2.JPG
MINOR: found duplicate file --- IMG_3417.JPG, renamed to IMG_3417__2.JPG
MINOR: found duplicate file --- IMG_3403.JPG, renamed to IMG_3403__3.JPG
MINOR: found duplicate file --- IMG_3402.JPG, renamed to IMG_3402__3.JPG
MINOR: found duplicate file --- IMG_3416.JPG, renamed to IMG_3416__2.JPG
MINOR: found duplicate file --- IMG_3562.JPG, renamed to IMG_3562__2.JPG
MINOR: found duplicate file --- IMG_3574.JPG, renamed to IMG_3574__2.JPG
MINOR: found duplicate file --- IMG_3560.JPG, renamed to IMG_3560__1.JPG
MINOR: found duplicate file --- IMG_3428.JPG, renamed to IMG_3428__2.JPG
MINOR: found duplicate file --- IMG_3414.JPG, renamed to IMG_3414__2.JPG
MINOR: found duplicate file --- IMG_3415.JPG, renamed to IMG_3415__2.JPG
MINOR: found duplicate file --- IMG_3429.JPG, renamed to IMG_3429__2.JPG
MINOR: found duplicate file --- IMG_3561.JPG, renamed to IMG_3561__2.JPG
MINOR: found duplicate file --- IMG_3571.JPG, renamed to IMG_3571__2.JPG
MINOR: found duplicate file --- IMG_3559.JPG, renamed to IMG_3559__1.JPG
MINOR: found duplicate file --- IMG_3388.JPG, renamed to IMG_3388__2.JPG
MINOR: found duplicate file --- IMG_3405.JPG, renamed to IMG_3405__1.JPG
MINOR: found duplicate file --- IMG_3404.JPG, renamed to IMG_3404__3.JPG
MINOR: found duplicate file --- IMG_3389.JPG, renamed to IMG_3389__2.JPG
MINOR: found duplicate file --- IMG_3558.JPG, renamed to IMG_3558__1.JPG
MINOR: found duplicate file --- IMG_3564.JPG, renamed to IMG_3564__2.JPG
MINOR: found duplicate file --- IMG_3570.JPG, renamed to IMG_3570__2.JPG
MINOR: found duplicate file --- IMG_3566.JPG, renamed to IMG_3566__2.JPG
MINOR: found duplicate file --- IMG_3572.JPG, renamed to IMG_3572__2.JPG
MINOR: found duplicate file --- IMG_3573.JPG, renamed to IMG_3573__2.JPG
MINOR: found duplicate file --- IMG_3567.JPG, renamed to IMG_3567__2.JPG
MINOR: found duplicate file --- IMG_3514.JPG, renamed to IMG_3514__1.JPG
MINOR: found duplicate file --- IMG_3448.JPG, renamed to IMG_3448__2.JPG
MINOR: found duplicate file --- IMG_3460.JPG, renamed to IMG_3460__2.JPG
MINOR: found duplicate file --- IMG_3461.JPG, renamed to IMG_3461__2.JPG
MINOR: found duplicate file --- IMG_3475.JPG, renamed to IMG_3475__1.JPG
MINOR: found duplicate file --- IMG_3449.JPG, renamed to IMG_3449__2.JPG
MINOR: found duplicate file --- IMG_3501.JPG, renamed to IMG_3501__1.JPG
MINOR: found duplicate file --- IMG_3488.JPG, renamed to IMG_3488__1.JPG
MINOR: found duplicate file --- IMG_3477.JPG, renamed to IMG_3477__1.JPG
MINOR: found duplicate file --- IMG_3516.JPG, renamed to IMG_3516__1.JPG
MINOR: found duplicate file --- IMG_3466.JPG, renamed to IMG_3466__1.JPG
MINOR: found duplicate file --- IMG_3473.JPG, renamed to IMG_3473__1.JPG
MINOR: found duplicate file --- IMG_3467.JPG, renamed to IMG_3467__1.JPG
MINOR: found duplicate file --- IMG_3507.JPG, renamed to IMG_3507__1.JPG
MINOR: found duplicate file --- IMG_3513.JPG, renamed to IMG_3513__1.JPG
MINOR: found duplicate file --- IMG_3539.JPG, renamed to IMG_3539__1.JPG
MINOR: found duplicate file --- IMG_3459.JPG, renamed to IMG_3459__2.JPG
MINOR: found duplicate file --- IMG_3458.JPG, renamed to IMG_3458__2.JPG
MINOR: found duplicate file --- IMG_3470.JPG, renamed to IMG_3470__1.JPG
MINOR: found duplicate file --- IMG_3538.JPG, renamed to IMG_3538__1.JPG
MINOR: found duplicate file --- IMG_2824.JPG, renamed to IMG_2824__1.JPG
MINOR: found duplicate file --- IMG_1303.MOV.json, renamed to IMG_1303__1.MOV.json
MINOR: found duplicate file --- IMG_1380.HEIC, renamed to IMG_1380__1.HEIC
MINOR: found duplicate file --- IMG_1377.MOV, renamed to IMG_1377__1.MOV
MINOR: found duplicate file --- IMG_1307.HEIC.json, renamed to IMG_1307__1.HEIC.json
MINOR: found duplicate file --- IMG_1332.HEIC.json, renamed to IMG_1332__1.HEIC.json
MINOR: found duplicate file --- IMG_1288.HEIC, renamed to IMG_1288__1.HEIC
MINOR: found duplicate file --- IMG_1293.MOV.json, renamed to IMG_1293__1.MOV.json
MINOR: found duplicate file --- IMG_1442.JPG, renamed to IMG_1442__1.JPG
MINOR: found duplicate file --- IMG_1414.MOV, renamed to IMG_1414__1.MOV
MINOR: found duplicate file --- .DS_Store, renamed to __4.DS_Store
MINOR: found duplicate file --- IMG_1289.HEIC, renamed to IMG_1289__1.HEIC
MINOR: found duplicate file --- IMG_1315.MOV.json, renamed to IMG_1315__1.MOV.json
MINOR: found duplicate file --- IMG_1443.JPG, renamed to IMG_1443__3.JPG
MINOR: found duplicate file --- IMG_2823.JPG, renamed to IMG_2823__1.JPG
MINOR: found duplicate file --- IMG_1359.MOV, renamed to IMG_1359__1.MOV
MINOR: found duplicate file --- IMG_1350.JPG.json, renamed to IMG_1350__1.JPG.json
MINOR: found duplicate file --- IMG_1441.JPG, renamed to IMG_1441__1.JPG
MINOR: found duplicate file --- IMG_1381.HEIC, renamed to IMG_1381__1.HEIC
MINOR: found duplicate file --- IMG_1303.MOV, renamed to IMG_1303__1.MOV
MINOR: found duplicate file --- IMG_1317.MOV, renamed to IMG_1317__1.MOV
MINOR: found duplicate file --- IMG_1308.HEIC, renamed to IMG_1308__1.HEIC
MINOR: found duplicate file --- IMG_1340.JPG, renamed to IMG_1340__1.JPG
MINOR: found duplicate file --- IMG_1316.MOV, renamed to IMG_1316__1.MOV
MINOR: found duplicate file --- IMG_1332.HEIC, renamed to IMG_1332__1.HEIC
MINOR: found duplicate file --- IMG_1386.HEIC, renamed to IMG_1386__1.HEIC
MINOR: found duplicate file --- IMG_1333.HEIC.json, renamed to IMG_1333__1.HEIC.json
MINOR: found duplicate file --- IMG_1315.MOV, renamed to IMG_1315__1.MOV
MINOR: found duplicate file --- IMG_1387.HEIC, renamed to IMG_1387__1.HEIC
MINOR: found duplicate file --- IMG_1329.HEIC, renamed to IMG_1329__1.HEIC
MINOR: found duplicate file --- IMG_1352.JPG, renamed to IMG_1352__1.JPG
MINOR: found duplicate file --- IMG_1333.HEIC, renamed to IMG_1333__1.HEIC
MINOR: found duplicate file --- IMG_1350.JPG, renamed to IMG_1350__1.JPG
MINOR: found duplicate file --- IMG_1306.MOV, renamed to IMG_1306__1.MOV
MINOR: found duplicate file --- IMG_1340.JPG.json, renamed to IMG_1340__1.JPG.json
MINOR: found duplicate file --- IMG_1309.HEIC, renamed to IMG_1309__1.HEIC
MINOR: found duplicate file --- IMG_1423.JPG, renamed to IMG_1423__1.JPG
MINOR: found duplicate file --- IMG_1352.JPG.json, renamed to IMG_1352__1.JPG.json
MINOR: found duplicate file --- IMG_1330.HEIC, renamed to IMG_1330__1.HEIC
MINOR: found duplicate file --- IMG_1348.JPG, renamed to IMG_1348__1.JPG
